packet_id,timestamp,length,direction,burst_id,gap_before,gap_after,rel_time,viz_bytes,cumulative_sum
0,0.030242891407521663,140,1,1,inf,0.026268436457042868,0.0,140.0,140.0
1,0.05651132786456453,146,1,1,0.026268436457042868,0.07623868480810514,0.026268436457042868,146.0,286.0
2,0.13275001267266967,174,1,1,0.07623868480810514,0.29944958089443074,0.10250712126514801,174.0,460.0
3,0.4321995935671004,143,1,1,0.29944958089443074,0.0679361823807873,0.40195670215957874,143.0,603.0
4,0.5001357759478877,148,-1,1,0.0679361823807873,0.07778350963107827,0.46989288454036604,-148.0,455.0
5,0.577919285578966,151,1,1,0.07778350963107827,0.14502361726051316,0.5476763941714443,151.0,606.0
6,0.7229429028394792,148,1,1,0.14502361726051316,0.004640602349616607,0.6927000114319575,148.0,754.0
7,0.7275835051890958,175,-1,1,0.004640602349616607,0.01507834942218933,0.6973406137815741,-175.0,579.0
8,0.7426618546112851,158,1,1,0.01507834942218933,0.15721594004600925,0.7124189632037634,158.0,737.0
9,0.8998777946572943,130,1,1,0.15721594004600925,0.00302544430713958,0.8696349032497727,130.0,867.0
10,0.9029032389644339,166,-1,1,0.00302544430713958,0.21466543625638035,0.8726603475569122,-166.0,701.0
11,1.1175686752208143,163,-1,1,0.21466543625638035,0.07782437147974264,1.0873257838132926,-163.0,538.0
12,1.195393046700557,125,1,1,0.07782437147974264,0.05941713301256679,1.1651501552930352,125.0,663.0
13,1.2548101797131237,153,1,1,0.05941713301256679,0.22268829179889837,1.224567288305602,153.0,816.0
14,1.477498471512022,147,1,1,0.22268829179889837,0.04741471476154979,1.4472555801045004,147.0,963.0
15,1.5249131862735719,142,-1,1,0.04741471476154979,0.07731100623596188,1.4946702948660502,-142.0,821.0
16,1.6022241925095337,161,1,1,0.07731100623596188,0.10564120247406517,1.571981301102012,161.0,982.0
17,1.707865394983599,156,1,1,0.10564120247406517,0.044825939039054186,1.6776225035760772,156.0,1138.0
18,1.752691334022653,148,1,1,0.044825939039054186,0.08463183163956534,1.7224484426151314,148.0,1286.0
19,1.8373231656622184,128,1,1,0.08463183163956534,0.10156594676501673,1.8070802742546968,128.0,1414.0
20,1.9388891124272352,131,-1,1,0.10156594676501673,0.013503524861489202,1.9086462210197135,-131.0,1283.0
21,1.9523926372887244,133,1,1,0.013503524861489202,0.11718431598732049,1.9221497458812027,133.0,1416.0
22,2.069576953276045,170,1,1,0.11718431598732049,0.10434124242256582,2.0393340618685234,170.0,1586.0
23,2.1739181956986107,153,1,1,0.10434124242256582,0.04368614898586287,2.143675304291089,153.0,1739.0
24,2.2176043446844735,154,1,1,0.04368614898586287,inf,2.187361453276952,154.0,1893.0
