packet_id,timestamp,length,direction
0,0.0,100,-1
1,0.006048917770385742,100,1
2,0.0447385311126709,60,-1
3,7.455647706985474,66,1
4,7.615412950515747,54,1
5,14.694880485534668,286,1
6,14.695208072662354,190,1
7,14.698201894760132,1514,1
8,14.699287176132202,1514,1
9,14.69933557510376,1514,1
10,14.699367046356201,1514,1
11,14.699397325515747,313,1
12,14.711852788925171,79,1
13,14.714840412139893,286,1
14,14.716173887252808,190,1
15,14.727277755737305,1514,1
16,14.733361959457397,60,-1
17,14.73536229133606,1514,1
18,14.736918926239014,95,-1
19,14.736980438232422,1514,1
20,14.739267587661743,60,-1
21,14.74006700515747,74,1
22,14.740253686904907,60,-1
23,14.740256309509277,60,-1
24,14.74025845527649,60,-1
25,14.740259885787964,60,-1
26,14.741044521331787,89,1
27,14.773295402526855,60,-1
28,14.773300170898438,60,-1
29,14.77330231666565,60,-1
30,14.773635149002075,60,-1
31,14.776739835739136,66,-1
32,14.778391361236572,54,1
33,14.779110670089722,60,-1
34,14.78457522392273,60,-1
35,14.78644585609436,312,1
36,14.796253681182861,1514,1
37,14.79733395576477,1514,1
38,14.797387838363647,1514,1
39,14.797417879104614,1514,1
40,14.797463417053223,252,1
41,14.81638789176941,172,1
42,14.82188868522644,60,-1
43,14.826018333435059,60,-1
44,14.826334238052368,191,-1
45,14.828707933425903,54,1
46,14.830511331558228,105,1
47,14.830791234970093,172,1
48,14.838523149490356,60,-1
49,14.841469049453735,60,-1
50,14.841471910476685,60,-1
51,14.841473579406738,60,-1
52,14.84428882598877,172,1
53,14.853429555892944,60,-1
54,14.865575075149536,146,-1
55,14.865578651428223,92,-1
56,14.867305755615234,54,1
57,14.878700494766235,172,1
58,14.882145166397095,60,-1
59,14.892450094223022,172,1
60,14.906580209732056,172,1
61,14.915216445922852,60,-1
62,14.916686058044434,767,1
63,14.928102016448975,172,1
64,14.929871082305908,60,-1
65,14.955064535140991,172,1
66,14.955179214477539,60,-1
67,14.960505247116089,419,-1
68,14.962430477142334,85,1
69,14.962697982788086,54,1
70,14.96647047996521,60,-1
71,14.976091861724854,172,1
72,14.99512529373169,172,1
73,15.001242399215698,60,-1
74,15.004226446151733,172,1
75,15.004377365112305,54,1
76,15.016392946243286,60,-1
77,15.042577505111694,60,-1
78,15.052141189575195,172,1
79,15.053250551223755,172,1
80,15.067278385162354,172,1
81,15.087961673736572,172,1
82,15.094637870788574,60,-1
83,15.11568307876587,172,1
84,15.125681161880493,60,-1
85,15.130095958709717,172,1
86,15.150802850723267,172,1
87,15.16458773612976,172,1
88,15.167646169662476,60,-1
89,15.199702978134155,172,1
90,15.202249765396118,60,-1
91,15.214328289031982,172,1
92,15.21830940246582,286,1
93,15.21897006034851,190,1
94,15.219999551773071,1514,1
95,15.220670700073242,1514,1
96,15.22078275680542,1174,1
97,15.220839262008667,136,1
98,15.221073150634766,92,1
99,15.228170156478882,172,1
100,15.249409198760986,172,1
101,15.252344608306885,60,-1
102,15.257577896118164,60,-1
103,15.263461351394653,60,-1
104,15.27626919746399,172,1
105,15.286479949951172,60,-1
106,15.290465593338013,172,1
107,15.311037540435791,172,1
108,15.324527025222778,172,1
109,15.328942775726318,60,-1
110,15.360062599182129,172,1
111,15.361190795898438,146,-1
112,15.361192464828491,92,-1
113,15.36480164527893,54,1
114,15.38069772720337,172,1
115,15.388614416122437,172,1
116,15.397655487060547,60,-1
117,15.401662826538086,172,1
118,15.429526329040527,60,-1
119,15.437068700790405,172,1
120,15.450614213943481,172,1
121,15.471513986587524,172,1
122,15.47435736656189,60,-1
123,15.486134767532349,172,1
124,15.509307861328125,60,-1
125,15.514790296554565,172,1
